Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2000-03-29,Breathe,Faith Hill,3,4,3,22,#
2000-03-29,Amazed,Lonestar,4,3,1,35,#
2000-03-29,Bye Bye Bye,*NSYNC,5,5,5,10,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-03-29,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,6,6,14,https://charts-static.billboard.com/img/1995/10/backstreet-boys-waj-180x180.jpg
2000-03-29,Get It On Tonite,Montell Jordan,7,9,4,24,#
2000-03-29,Smooth,Santana Featuring Rob Thomas,8,10,1,36,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-03-29,That's The Way It Is,Celine Dion,9,7,6,21,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-03-29,Thong Song,Sisqo,10,13,10,10,#
2000-04-05,Maria Maria,Santana Featuring The Product G&B,1,2,1,9,#
2000-04-05,Say My Name,Destiny's Child,2,1,1,16,#
2000-04-05,Breathe,Faith Hill,3,3,3,23,#
2000-04-05,Amazed,Lonestar,4,4,1,36,#
2000-04-05,Bye Bye Bye,*NSYNC,5,5,5,11,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-04-05,Thong Song,Sisqo,6,10,6,11,#
2000-04-05,There You Go,P!nk,7,11,7,6,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg
2000-04-05,Show Me The Meaning Of Being Lonely,Backstreet Boys,8,6,6,15,https://charts-static.billboard.com/img/1995/10/backstreet-boys-waj-180x180.jpg
2000-04-05,Get It On Tonite,Montell Jordan,9,7,4,25,#
2000-04-05,That's The Way It Is,Celine Dion,10,9,6,22,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-04-12,Maria Maria,Santana Featuring The Product G&B,1,1,1,10,#
2000-04-12,Say My Name,Destiny's Child,2,2,1,17,#
2000-04-12,Breathe,Faith Hill,3,3,3,24,#
2000-04-12,Bye Bye Bye,*NSYNC,4,5,4,12,#
2000-04-12,Amazed,Lonestar,5,4,1,37,#
2000-04-12,Thong Song,Sisqo,6,6,6,12,#
2000-04-12,There You Go,P!nk,7,7,7,7,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg
2000-04-12,I Try,Macy Gray,8,12,8,9,#
2000-04-12,Show Me The Meaning Of Being Lonely,Backstreet Boys,9,8,6,16,https://charts-static.billboard.com/img/1995/10/backstreet-boys-waj-180x180.jpg
2000-04-12,Get It On Tonite,Montell Jordan,10,9,4,26,#
2000-04-19,Maria Maria,Santana Featuring The Product G&B,1,1,1,11,#
2000-04-19,Breathe,Faith Hill,2,3,2,25,#
2000-04-19,Say My Name,Destiny's Child,3,2,1,18,#
2000-04-19,Bye Bye Bye,*NSYNC,4,4,4,13,#
2000-04-19,Thong Song,Sisqo,5,6,5,13,#
2000-04-19,Amazed,Lonestar,6,5,1,38,#
2000-04-19,I Try,Macy Gray,7,8,7,10,#
2000-04-19,It Feels So Good,Sonique,8,11,8,14,https://charts-static.billboard.com/img/1999/12/sonique-pbr-180x180.jpg
2000-04-19,Everything You Want,Vertical Horizon,9,13,9,14,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-04-19,Get It On Tonite,Montell Jordan,10,10,4,27,#
2000-04-26,Maria Maria,Santana Featuring The Product G&B,1,1,1,12,#
2000-04-26,Breathe,Faith Hill,2,2,2,26,#
2000-04-26,He Wasn't Man Enough,Toni Braxton,3,24,3,7,#
2000-04-26,Thong Song,Sisqo,4,5,4,14,#
2000-04-26,Say My Name,Destiny's Child,5,3,1,19,https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg
2000-04-26,Bye Bye Bye,*NSYNC,6,4,4,14,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-04-26,I Try,Macy Gray,7,7,7,11,#
2000-04-26,Amazed,Lonestar,8,6,1,39,#
2000-04-26,Everything You Want,Vertical Horizon,9,9,9,15,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-04-26,It Feels So Good,Sonique,10,8,8,15,https://charts-static.billboard.com/img/1999/12/sonique-pbr-180x180.jpg
2000-05-03,Maria Maria,Santana Featuring The Product G&B,1,1,1,13,#
2000-05-03,He Wasn't Man Enough,Toni Braxton,2,3,2,8,#
2000-05-03,Breathe,Faith Hill,3,2,2,27,#
2000-05-03,Thong Song,Sisqo,4,4,4,15,#
2000-05-03,Say My Name,Destiny's Child,5,5,1,20,https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg
2000-05-03,Bye Bye Bye,*NSYNC,6,6,4,15,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-05-03,I Try,Macy Gray,7,7,7,12,#
2000-05-03,Everything You Want,Vertical Horizon,8,9,8,16,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-05-03,Amazed,Lonestar,9,8,1,40,#
2000-05-03,It Feels So Good,Sonique,10,10,8,16,https://charts-static.billboard.com/img/1999/12/sonique-pbr-180x180.jpg
2000-05-10,Maria Maria,Santana Featuring The Product G&B,1,1,1,14,#
2000-05-10,He Wasn't Man Enough,Toni Braxton,2,2,2,9,#
2000-05-10,Breathe,Faith Hill,3,3,2,28,#
2000-05-10,Thong Song,Sisqo,4,4,4,16,#
2000-05-10,Say My Name,Destiny's Child,5,5,1,21,https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg
2000-05-10,I Try,Macy Gray,6,7,6,13,#
2000-05-10,Bye Bye Bye,*NSYNC,7,6,4,16,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-05-10,Everything You Want,Vertical Horizon,8,8,8,17,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-05-10,Be With You,Enrique Iglesias,9,12,9,7,https://charts-static.billboard.com/img/1995/10/enrique-iglesias-226-180x180.jpg
2000-05-10,Amazed,Lonestar,10,9,1,41,#
2000-05-17,Maria Maria,Santana Featuring The Product G&B,1,1,1,15,#
2000-05-17,Breathe,Faith Hill,2,3,2,29,#
2000-05-17,Thong Song,Sisqo,3,4,3,17,#
2000-05-17,He Wasn't Man Enough,Toni Braxton,4,2,2,10,#
2000-05-17,I Try,Macy Gray,5,6,5,14,#
2000-05-17,Everything You Want,Vertical Horizon,6,8,6,18,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-05-17,Say My Name,Destiny's Child,7,5,1,22,https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg
2000-05-17,Be With You,Enrique Iglesias,8,9,8,8,https://charts-static.billboard.com/img/1995/10/enrique-iglesias-226-180x180.jpg
2000-05-17,Bye Bye Bye,*NSYNC,9,7,4,17,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-05-17,Try Again,Aaliyah,10,12,10,10,https://charts-static.billboard.com/img/2000/03/aaliyah-dzg-tryagain-gn1-180x180.jpg
2000-05-24,Maria Maria,Santana Featuring The Product G&B,1,1,1,16,#
2000-05-24,Breathe,Faith Hill,2,2,2,30,#
2000-05-24,Thong Song,Sisqo,3,3,3,18,#
2000-05-24,He Wasn't Man Enough,Toni Braxton,4,4,2,11,#
2000-05-24,You Sang To Me,Marc Anthony,5,13,5,14,https://charts-static.billboard.com/img/1991/08/marc-anthony-iab-180x180.jpg
2000-05-24,I Try,Macy Gray,6,5,5,15,#
2000-05-24,Everything You Want,Vertical Horizon,7,6,6,19,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-05-24,Be With You,Enrique Iglesias,8,8,8,9,https://charts-static.billboard.com/img/1995/10/enrique-iglesias-226-180x180.jpg
2000-05-24,Try Again,Aaliyah,9,10,9,11,https://charts-static.billboard.com/img/2000/03/aaliyah-dzg-tryagain-gn1-180x180.jpg
